Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
7606,107608,2022.0,1.0,263.0,0.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7608,107610,2022.0,3.0,2130.0,2.0,8.0,8.0,1.0,1.0,,,11.0,12.0,2.0,9090909.0
7613,107615,2019.0,2.0,2130.0,2.0,8.0,7.0,1.0,1.0,,,10.0,11.0,2.0,32.0
7614,107616,2022.0,3.0,8111.0,8.0,7.0,2.0,1.0,1.0,,,10.0,11.0,2.0,34.0
7615,107617,2021.0,7.0,6151.0,6.0,7.0,2.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7616,107618,2022.0,1.0,3071.0,3.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,9090909.0
7617,107619,2018.0,5.0,3065.0,3.0,4.0,5.0,2.0,1.0,,,10.0,11.0,2.0,24.0
7618,107620,2018.0,6.0,2502.0,2.0,11.0,12.0,,,,,0.0,3.0,2.0,23.0
7619,107621,2016.0,4.0,3050.0,3.0,1.0,1.0,1.0,1.0,,,0.0,3.0,3.0,25.0
7622,107624,2015.0,4.0,3040.0,3.0,1.0,1.0,1.0,1.0,,,10.0,11.0,3.0,25.0
7623,107625,2019.0,5.0,6151.0,6.0,8.0,7.0,1.0,1.0,,,6.0,5.0,3.0,20.0
7624,107626,2021.0,5.0,5317.0,5.0,8.0,7.0,1.0,1.0,,,6.0,5.0,3.0,20.0
7627,107629,2021.0,4.0,6151.0,6.0,5.0,4.0,2.0,1.0,,,10.0,11.0,3.0,16.0
7628,107630,2019.0,4.0,4166.0,4.0,0.0,3.0,1.0,1.0,,,0.0,3.0,3.0,24.0
7629,107631,2021.0,11.0,261.0,0.0,0.0,3.0,1.0,1.0,,,0.0,3.0,3.0,24.0
7631,107633,2021.0,8.0,6151.0,6.0,7.0,7.0,1.0,1.0,,,3.0,3.0,4.0,12.0
7632,107634,2022.0,4.0,295.0,0.0,6.0,5.0,3.0,1.0,,,10.0,11.0,4.0,12.0
7633,107635,2018.0,2.0,6151.0,6.0,6.0,5.0,3.0,1.0,,,5.0,4.0,3.0,22.0
7636,107638,2022.0,4.0,6151.0,6.0,8.0,7.0,1.0,1.0,,,11.0,12.0,3.0,16.0
7641,107643,2022.0,7.0,5317.0,5.0,6.0,2.0,2.0,1.0,,,6.0,4.0,3.0,9090909.0
7644,107646,2022.0,1.0,1532.0,1.0,6.0,5.0,1.0,1.0,,,6.0,5.0,3.0,15.0
7645,107647,2021.0,5.0,3064.0,3.0,8.0,7.0,1.0,1.0,,,10.0,11.0,3.0,24.0
7646,107648,2021.0,4.0,1532.0,1.0,8.0,7.0,1.0,1.0,,,10.0,11.0,3.0,24.0
7648,107650,2021.0,3.0,283.0,0.0,6.0,7.0,1.0,1.0,,,5.0,4.0,4.0,16.0
7650,107652,2020.0,3.0,272.0,0.0,11.0,12.0,,,,,3.0,4.0,2.0,22.0
7651,107653,2022.0,5.0,2141.0,2.0,0.0,1.0,2.0,1.0,,,10.0,11.0,3.0,16.0
7653,107655,2022.0,5.0,2312.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,16.0
7654,107656,2019.0,4.0,3040.0,3.0,8.0,7.0,1.0,1.0,,,10.0,11.0,3.0,18.0
7660,107662,2019.0,3.0,1584.0,1.0,1.0,1.0,1.0,1.0,,,10.0,11.0,3.0,20.0
7661,107663,2021.0,7.0,6151.0,6.0,8.0,8.0,1.0,1.0,,,10.0,11.0,4.0,22.0
7663,107665,2017.0,4.0,2401.0,2.0,6.0,8.0,3.0,1.0,,,6.0,3.0,2.0,22.0
7665,107667,2021.0,11.0,6244.0,6.0,6.0,4.0,1.0,1.0,,,10.0,11.0,4.0,33.0
7666,107668,2021.0,3.0,5324.0,5.0,6.0,7.0,1.0,1.0,,,10.0,11.0,4.0,32.0
7668,107670,2021.0,12.0,6244.0,6.0,0.0,3.0,1.0,1.0,,,6.0,3.0,2.0,32.0
7672,107674,2020.0,3.0,6140.0,6.0,5.0,4.0,3.0,1.0,,,10.0,11.0,2.0,38.0
7685,107687,2021.0,8.0,6151.0,6.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,33.0
7698,107700,2020.0,1.0,5317.0,5.0,7.0,7.0,1.0,1.0,,,10.0,11.0,2.0,32.0
7699,107701,2021.0,12.0,263.0,0.0,7.0,9.0,1.0,1.0,,,10.0,11.0,2.0,34.0
7702,107704,2022.0,3.0,263.0,0.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,30.0
7704,107706,2017.0,6.0,6123.0,6.0,6.0,5.0,1.0,1.0,,,10.0,11.0,2.0,32.0
